id,label,tweet
14,Hate Detected ,@user #cnn calls #michigan middle school 'build the wall' chant '' #tcot  
15,Hate Detected ,no comment!  in #australia   #opkillingbay #seashepherd #helpcovedolphins #thecove  #helpcovedolphins
18,Hate Detected ,retweet if you agree! 
24,Hate Detected ,@user @user lumpy says i am a . prove it lumpy.
35,Hate Detected ,it's unbelievable that in the 21st century we'd need something like this. again. #neverump  #xenophobia 
57,Hate Detected ,@user lets fight against  #love #peace 
69,Hate Detected ,ð©the white establishment can't have blk folx running around loving themselves and promoting our greatness  
78,Hate Detected ,"@user hey, white people: you can call people 'white' by @user  #race  #identity #medâ¦"
83,Hate Detected ,how the #altright uses  &amp; insecurity to lure men into #whitesupremacy    
112,Hate Detected ,@user i'm not interested in a #linguistics that doesn't address #race &amp; . racism is about #power. #raciolinguistics bringsâ¦
115,Hate Detected ,@user why not @user mocked obama for being black.  @user @user @user @user #brexit
132,Hate Detected ,#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;â¦ 
152,Hate Detected ,yes it's  when you call #michelleobama a gorilla because racists have long thought of black people as no betâ¦ 
157,Hate Detected ,"as the smaller hands show, barry probably lied about  being why his #knicks game sucked more than his #golfâ¦ "
168,Hate Detected ,"@user @user you point one finger @user millions are pointed right back at you,  #jewishsupremacist"
193,Hate Detected ,you might be a libtard if... #libtard  #sjw #liberal #politics 
211,Hate Detected ,@user take out the #trash america...  - i voted against #hate - i voted against  - i voted against  - i votâ¦ 
233,Hate Detected ,"if you hold open a door for a woman because she's a woman and not because it's a nice thing to do, that's . don't even try to deny it"
264,Hate Detected ,"@user this man ran for governor of ny, the state with the biggest african-american population    #â¦"
265,Hate Detected ,#stereotyping #prejudice  offer no #hope or solutions but create the same old repetitive #hate #conflictâ¦ 
270,Hate Detected ,how many#pols passed by how many times and said nothing?   #bluelivesmatter #draintheswamp  #ferguson  
314,Hate Detected ,7 horribly  ads from #2016 that made us cringe 
322,Hate Detected ,"@user ""the dying of the light""  village green/townÂ²  #antisemitism #hocoschools #columbiamd #hocomd"
333,Hate Detected ,"@user you never answered me about your statement on the #nazi's over #hatred,  &amp; #bigotry being found wâ¦ "
355,Hate Detected ,you might be a libtard if... #libtard  #sjw #liberal #politics 
363,Hate Detected ,trump ny co-chair makes racist remarks about michelle obama  #p2 #p21 #fyi  #tcot
375,Hate Detected ,"@user the pic says otherwise for young girls confined in that kitchen. you are void of meaning, beyond cheap publicity #topoli "
